NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
1339;Desagneaux;a                    1934 XB;EOS;A;S;D;;22.97;M;10.8;;D;;0.1602;;9.38;;;;0.45;0.48;3;;;;Y;;
1353;Maartje;1935 CU;EOS;A;S;D;;34.16;M;9.9;;D;;0.166;;22.93;;;;0.25;0.46;3;;;;Y;;
1364;Safara;1935 VB;EOS;A;S;C;;25.73;M;10.7;;A;;0.14;;7.25;;;;;0.36;3;-;;;Y;;
1388;Aphrodite;1935 SS;EOS;A;S;D;;25.17;M;10.9;;D;;0.1217;;11.9432;;;;0.34;0.65;3;;;;Y;;
1411;Brauna;1937 AM;EOS;A;S;D;;31.13;M;11;;D;;0.0726;;4.9;;;;;0.15;3;;;;;;
1413;Roucarie;1937 CD;EOS;A;C;D;;21.23;M;11.3;;D;;0.1183;;6.357;;;;;0.5;3;;;;Y;;
1416;Renauxa;1937 EC;EOS;T;S;D;;28.75;M;10.7;;D;;0.1122;;8.7;;;;0.11;0.4;3;;;;;;
1434;Margot;1936 FD1;EOS;T;S;D;;29.49;L;10.66;;D;;0.1106;;8.17;;;;;0.52;3;;;;;;
1464;Armisticia;1939 VO;EOS;A;S;C;;22.41;M;11;;A;;0.14;;7.5;;;;;0.54;3;;;;Y;;
1532;Inari;1938 SM;EOS;T;S;D;;28.44;M;10.7;;D;;0.1146;;25;;;;;0.09;1;+;;;;;
1533;Saimaa;1939 BD;EOS;T;S;D;;26.16;L;10.77;;D;;0.127;;7.115;;;;0.18;0.26;3;;;;Y;;
1552;Bessel;1938 DE1;EOS;A;S;D;;18.33;M;11.4;;D;;0.1448;;8.996;;;;;0.29;3;;;;Y;;
1557;Roehla;1942 AD;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;S;5.679;;;;;;2;N;;;Y;Y;
1604;Tombaugh;1931 FH;EOS;S;X;D;;32.25;L;10.65;;D;;0.0933;;7.24;;;;0.16;0.35;3;-;;;Y;;
1605;Milankovit;ch                   1936 GA;EOS;A;S;D;;32.38;M;10.2;;D;;0.1401;;11.6;;;;0.12;0.14;2;;;;;;
1641;Tana;1935 OJ;EOS;A;S;D;;25.98;L;10.64;;D;;0.1451;;7.95;;;;0.32;0.33;3;-;;;Y;;
1654;Bojeva;1931 TL;EOS;A;S;D;;27.04;M;10.7;;D;;0.1268;;10.5559;;;;;0.27;2;;;;;;
1723;Klemola;1936 FX;EOS;T;S;S;;31.3;L;10.05;;S;;0.1707;;6.2545;;;;0.16;0.41;3;;;;Y;;
1732;Heike;1943 EY;EOS;A;S;D;;24.17;M;10.9;;D;;0.132;;4.742;;;;0.27;0.32;3;;;;Y;;
1737;Severny;1966 TJ;EOS;A;S;C;;21.4;M;11.1;;A;;0.14;;9.223;;;;0.12;0.17;2;+;;;;;
1753;Mieke;1934 JM;EOS;A;S;C;;22.41;M;11;;A;;0.14;;8.8;;;;;0.2;2;P;;;Y;;
1758;Naantali;1942 DK;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;5.4699;;;;0.44;0.46;3;;;;Y;;
1767;* Lampland;1962 RJ;EOS;A;S;C;;12.9;M;12.2;;A;;0.14;S;35.399;;;;;0.46;2;N;;;Y;;
1780;Kippes;A906 RA;EOS;A;S;S;;27.92;L;10.68;;S;;0.1212;;18;;;;;0.23;2;;;;;;
1786;Raahe;1948 TL;EOS;A;S;C;;23.47;M;10.9;;A;;0.14;;18.72;;;;0.15;0.48;3;;;;Y;;
1799;Koussevitz;ky                   1950 OE;EOS;S;K;D;;18.82;M;11.3;;D;;0.1506;;6.318;;;;0.25;0.4;3;;;;Y;;
1801;Titicaca;1952 SP1;EOS;A;S;D;;23.13;M;11.1;;D;;0.1199;;3.2106;;;;;0.5;3;;;;Y;;
1826;Miller;1955 RC1;EOS;A;S;D;;24.26;M;11.2;;D;;0.0993;;30.049;;;;;0.08;2;;;;;;
1834;Palach;1969 QP;EOS;A;S;C;;19.52;M;11.3;;A;;0.14;;3.139;;;;0.13;0.16;2;;;;;;
1844;Susilva;1972 UB;EOS;A;S;C;;22.41;M;11;;A;;0.14;;;;;;;0.47;;N;;;;;
1882;Rauma;1941 UJ;EOS;S;K;C;;18.64;M;11.4;;A;;0.14;;25;;;;;0.1;2;;;;;;
1887;Virton;1950 TD;EOS;A;S;C;;22.41;M;11;;A;;0.14;;;;;;;0.5;;N;;;;;
1903;Adzhimushk;aj                   1972 JL;EOS;A;S;C;;26.94;M;10.6;;A;;0.14;;4.622;;;;;0.04;2;;;;;;
1957;Angara;1970 GF;EOS;L;S;D;;18.38;L;11.43;;A;;0.14;;3.67;;;;;0.52;3;;;;;;
1992;Galvarino;1968 OD;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;7.004;;;;;0.6;3;;;;;;
2020;Ukko;1936 FR;EOS;A;S;D;;21.56;M;11.3;;D;;0.1147;;25.478;;;;;0.24;2;#NAME?;;;Y;;
2052;Tamriko;1976 UN;EOS;T;S;S;;30.45;M;10.48;;S;;0.1225;;7.462;;;;0.11;0.15;2;3;;;;;
2091;Sampo;1941 HO;EOS;A;S;D;;30.25;M;10.5;;D;;0.1218;;71.34;;;;;0.38;2;;;;;;
2111;Tselina;1969 LG;EOS;T;S;S;;24.54;M;10.45;;S;;0.1938;;6.563;;;;0.17;0.29;3;;;;Y;;
2115;Irakli;1976 UD;EOS;A;S;C;;18.83;T;11.38;;A;;0.14;;29.765;;;;0.34;0.36;2;;;;;;Y
2136;Jugta;1933 OC;EOS;A;S;C;;19.52;M;11.3;;A;;0.14;;6.4571;;;;0.37;0.45;3;;;;;;
2179;Platzeck;1965 MA;EOS;A;S;D;;19.79;M;11.2;;D;;0.1493;;5.995;;;;;0.24;3;;;;;;
2180;Marjaleena;1940 RJ;EOS;A;S;C;;22.41;M;11;;A;;0.14;;7.396;;;;0.25;0.43;2;;;;Y;;
2216;Kerch;1971 LF;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;9.462;;;;;0.78;3;-;;;;;
2263;Shaanxi;1978 UW1;EOS;A;S;D;;20.51;M;11.2;;D;;0.139;;41.7;;;;;0.36;2;-;;;;;
2309;Mr. Spock;1971 QX1;EOS;A;S;D;;21.29;M;11.3;;D;;0.1176;;6.722;;;;;0.56;3;;;;;;
2315;Czechoslov;akia                 1980 DZ;EOS;A;S;D;;23.52;M;10.6;;D;;0.1837;;10.0253;;;;;0.52;3;;;;;;
2345;Fucik;1974 OS;EOS;T;S;S;;26.63;M;10.8;;S;;0.1192;;17.12;;;;0.1;0.39;2;;;;;;
2358;Bahner;1929 RE;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;10.848;;;;0.33;0.43;3;;;;Y;;
2387;Xi'an;1975 FX;EOS;A;S;C;;16.1;T;11.72;;A;;0.14;;4.298;;;;;0.24;2;;;;;;Y
2416;Sharonov;1979 OF13;EOS;A;C;C;;32.03;M;11.2;;A;;0.057;;10.82;;;;;0.05;1;;;;;;
2425;Shenzhen;1975 FW;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;14.715;;;;;0.8;3;;;;Y;;
2443;Tomeileen;A906 BJ;EOS;A;S;D;;30.81;M;10.3;;D;;0.1412;;3.974;;;;0.1;0.13;2;;;;;;
2453;Wabash;A921 SA;EOS;A;S;C;;21.4;M;11.1;;A;;0.14;;6.878;;;;0.63;0.67;3;;;;;;
2459;Spellmann;1980 LB1;EOS;A;S;C;;14.99;T;11.87;;A;;0.14;;6.5334;;;;0.6;0.65;3;;;;Y;;
2471;Ultrajectu;m                    6545 P-L;EOS;A;S;C;;15.5;M;11.8;;A;;0.14;;3.875;;;;0.21;0.23;2;;;;;;Y
2476;Andersen;1976 JF2;EOS;A;S;D;;21.15;M;11.2;;D;;0.1308;;8.241;;;;;0.07;1;;;;;;
2522;Triglav;1980 PP;EOS;A;C;D;;20.57;M;11.4;;D;;0.115;;6.774;;;;;0.29;3;-;;;;;
