NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
5623;Iwamori;1990 UY;EOS;A;S;C;;14.81;M;11.9;;A;;0.14;;7.087;;;;;0.37;3;;;;;;
5755;* 1992 OP7;1992 OP7;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;S;5.5752;;;;;;2;N;;;Y;;Y
5769;Michard;1987 PL;EOS;A;S;C;;10.2;T;12.71;;A;;0.14;;3.35;;;;;0.37;2;;;;;;Y
5808;Babel';1987 QV10;EOS;A;S;C;;14.14;M;12;;A;;0.14;;30.1;;;;;0.47;2;;;;;;
5902;* Talima;1987 QY10;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;22.3733;;;;;;2;N;;;Y;;
6019;Telford;1991 RO6;EOS;A;S;C;;17;M;11.6;;A;;0.14;;5.76;;;;0.34;0.38;3;;;;;;
6025;Naotosato;1992 YA3;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;>;10;;;>;;0.2;1;;;;;;
6136;Gryphon;1990 YH;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;16.476;;;;0.6;0.61;3;;;;Y;;
6166;Univsima;1978 SP4;EOS;A;S;C;;13.5;M;12.1;;A;;0.14;;9.6;;;>;;0.6;2;;;;Y;;
6241;Galante;1989 TG;EOS;A;S;C;;10.75;T;12.6;;A;;0.14;;20.151;;;;;0.06;1;;;;;;Y
6254;1993 UM3;1993 UM3;EOS;A;C;C;;13.5;M;12.1;;A;;0.14;;7.04;;;;;0.31;3;-;;;;;
6420;* Riheijyaya;1993 XG1;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;8.2535;;;;;;2;N;;;Y;;
6464;* Kaburaki;1994 CK;EOS;A;S;C;;12.9;M;12.2;;A;;0.14;S;4.8011;;;;;;2;N;;;Y;;
6590;Barolo;1985 TA2;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;S;8.3593;;;;;;2;N;;;Y;Y;
6665;* Kagawa;1993 CN;EOS;A;S;C;;12.9;M;12.2;;A;;0.14;S;6.7494;;;;;;2;N;;;Y;;
6733;1992 EF;1992 EF;EOS;A;S;C;;12.07;T;12.34;;A;;0.14;;11.357;;;;;0.5;2;;;;;;Y
6734;Benzenberg;1992 FB;EOS;A;S;C;;15.51;M;11.8;;A;;0.14;;196.708;;;;;0.41;2;;;;;;Y
6750;Katgert;1078 T-1;EOS;A;S;C;;9.36;T;12.9;;A;;0.14;;9.445;;;;;0.29;2;;;;;;Y
6923;* Borzacchin;i                    1993 SD;EOS;A;S;C;;6.17;M;13.8;;A;;0.14;S;6.5517;;;;;;2;N;;;Y;;
6938;Soniaterk;5140 T-2;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;;8.33;;;;;0.29;2;;;;;;
6992;Minano-mac;hi                   1995 BT1;EOS;A;S;C;;13.5;M;12.1;;A;;0.14;>;24;;;>;;0.1;1;;;;;;
7046;Reshetnev;1977 QG2;EOS;A;S;C;;12.9;M;12.2;;A;;0.14;;;;;;;0.31;;N;;;;;
7139;Tsubokawa;1994 CV2;EOS;A;S;C;;9.78;M;12.8;;A;;0.14;;2.756;;;;0.16;0.18;2;;;;;;Y
7183;1991 RE16;1991 RE16;EOS;A;S;C;;10.93;T;12.56;;A;;0.14;;275.754;;;;;0.46;2;;;;;;Y
7494;Xiwanggong;cheng                1995 UV48;EOS;A;S;C;;10.01;T;12.75;;A;;0.14;;21.849;;;;;0.52;2;;;;;;Y
7583;Rosegger;1991 BA3;EOS;A;S;C;;7.35;T;13.42;;A;;0.14;;7.661;;;;;0.45;2;;;;;;Y
7616;* Sadako;1996 VF2;EOS;A;S;C;;14.14;M;12;;A;;0.14;S;11.0085;;;;;;2;N;;;Y;;Y
7667;1995 BL3;1995 BL3;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;;15.3;;;;;0.23;2;;;;;;
7975;1974 FD;1974 FD;EOS;A;S;C;;9;T;12.98;;A;;0.14;;5.739;;;;;0.55;2;;;;;;Y
8042;1994 AX2;1994 AX2;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;;8.133;;;;0.42;0.46;2;;;;;;Y
8085;1989 CD8;1989 CD8;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;;7.75;;;;;0.2;2;;;;Y;;
8173;1991 RX23;1991 RX23;EOS;A;S;C;;5.88;T;13.9;;A;;0.14;;104.128;;;;;0.74;2;;;;;;Y
8316;Wolkenstei;n                    3002 P-L;EOS;A;S;C;;13.85;T;12.05;;A;;0.14;;4.57;;;;0.4;0.42;2;;;;;;Y
8538;Gammelmaja;1993 FR26;EOS;A;S;C;;10.56;T;12.64;;A;;0.14;;3.089;;;;;0.37;2;;;;;;Y
8584;1997 AN22;1997 AN22;EOS;A;S;C;;7.48;T;13.38;;A;;0.14;;31.52;;;;;0.95;2;;;;;;Y
8661;* Ratzinger;1990 TA13;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;4.301;;;;;;2;N;;;Y;;
8901;1995 UJ4;1995 UJ4;EOS;A;S;C;;13.49;T;12.1;;A;;0.14;;8.702;;;;;0.25;2;;;;;;Y
8908;1995 WY6;1995 WY6;EOS;A;S;C;;10.09;T;12.73;;A;;0.14;;3.026;;;;0.37;0.48;2;;;;Y;;Y
8914;Nickjames;1995 YP2;EOS;A;S;C;;8.84;T;13.02;;A;;0.14;;5.652;;;;;0.17;2;;;;;;Y
9039;1990 WB4;1990 WB4;EOS;A;S;C;;10.11;T;12.73;;A;;0.14;;11.17;;;;;0.08;1;;;;;;Y
9826;Ehrenfreun;d                    2114 T-3;EOS;A;S;C;;6.94;T;13.55;;A;;0.14;;3.748;;;;;0.37;2;;;;;;Y
10033;Bodewits;1981 UJ23;EOS;A;S;C;;7.5;T;13.38;;A;;0.14;;11.88;;;;;0.42;2;;;;;;Y
10069;* Fontenelle;1989 CW2;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;20.8392;;;;;;2;N;;;Y;;
10478;* Alsabti;1981 WO;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;S;3.4886;;;;;;2;N;;;Y;;
10551;Goteborg;1992 YL2;EOS;A;S;C;;11.53;T;12.44;;A;;0.14;;335.346;;;;;0.7;2;;;;;;Y
10765;1990 UZ;1990 UZ;EOS;A;S;C;;16.24;M;11.7;;A;;0.14;;4.378;;;;;0.17;2;+;;;;;
11107;Hakkoda;1995 UU4;EOS;A;S;C;;8.22;T;13.18;;A;;0.14;;5.479;;;;;0.26;2;;;;;;Y
11108;Hachimanta;i                    1995 UJ6;EOS;A;S;C;;6.43;T;13.71;;A;;0.14;;3.352;;;;;0.4;2;;;;;;Y
11209;* 1999 GP18;1999 GP18;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;S;8.2171;;;;;;2;N;;;Y;;
11288;Okunohosom;ichi                 1990 XU;EOS;A;S;C;;9.19;T;12.93;;A;;0.14;;3.687;;;;;0.32;2;;;;;;Y
11321;Tosimatumo;to                   1995 DE1;EOS;A;S;C;;9.78;M;12.8;;A;;0.14;;7.8;;;;;0.25;2;-;;;;;
11375;1998 QB74;1998 QB74;EOS;A;S;C;;10.06;T;12.74;;A;;0.14;;8;;;;;0.43;2;;;;;;Y
11610;1995 XJ1;1995 XJ1;EOS;A;S;C;;9.86;T;12.78;;A;;0.14;;5.825;;;;;0.3;2;;;;;;Y
12080;1998 FC111;1998 FC111;EOS;A;S;C;;8.98;T;12.99;;A;;0.14;;16.334;;;;0.32;0.53;2;;;;;;Y
12104;Chesley;1998 KO6;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;3.9456;;;;0.47;0.78;2;+;;;;;
12122;1999 NV55;1999 NV55;EOS;A;S;C;;9.36;T;12.9;;A;;0.14;;13.851;;;;;0.27;2;;;;;;Y
12168;Polko;5141 T-2;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;;9.4071;;;;;1.44;3;;;;;;
12849;1997 QD2;1997 QD2;EOS;A;S;C;;14.14;M;12;;A;;0.14;;2.277;;;;;0.15;1;;;;;;
13093;Wolfgangpa;uli                  1992 SQ24;EOS;A;S;C;;9.56;T;12.85;;A;;0.14;;3.206;;;;;0.18;2;;;;;;Y
13378;1998 VF35;1998 VF35;EOS;A;S;C;;10.43;T;12.66;;A;;0.14;;102.546;;;;;0.77;2;;;;;;Y
13488;Savanov;1982 TK1;EOS;A;S;C;;11.53;T;12.44;;A;;0.14;;5.678;;;;;0.72;2;;;;Y;;Y
13681;Monty Pyth;on                   1997 PY1;EOS;A;S;C;;4;T;14.74;;A;;0.14;;5.03;;;;;0.41;2;;;;;;Y
13813;1998 YX;1998 YX;EOS;A;S;C;;9.84;T;12.79;;A;;0.14;;5.401;;;;;0.16;2;;;;;;Y
13823;1999 VO72;1999 VO72;EOS;A;S;C;;9.33;T;12.9;;A;;0.14;;3.741;;;;;0.63;2;;;;;;Y
13925;* 1986 QS3;1986 QS3;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;S;6.3373;;;;;;2;N;;;Y;;
14420;* Massey;1991 SM;EOS;A;S;C;;9.78;M;12.8;;A;;0.14;S;4.0755;;;;;;2;N;;;Y;;
14666;* 1999 CG17;1999 CG17;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;S;5.4615;;;;;;2;N;;;Y;;
14667;* 1999 CS19;1999 CS19;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;9.1844;;;;;;2;N;;;Y;;
14672;1999 RO94;1999 RO94;EOS;A;S;C;;8.84;T;13.02;;A;;0.14;;2.896;;;;;0.16;2;;;;;;Y
14712;2000 CO51;2000 CO51;EOS;A;S;C;;8.52;M;13.1;;A;;0.14;;13.7;;;;0.5;0.7;2;;;;;;Y
15037;Chassagne;1998 WN6;EOS;A;S;C;;6.8;T;13.59;;A;;0.14;;29.836;;;;;0.35;2;;;;;;Y
15062;1999 AL2;1999 AL2;EOS;A;S;C;;6.97;T;13.54;;A;;0.14;;6.821;;;;;0.54;2;;;;Y;;Y
15184;3232 T-1;3232 T-1;EOS;A;S;C;;4.84;T;14.33;;A;;0.14;;5.852;;;;;0.69;2;;;;;;Y
15498;1999 EQ4;1999 EQ4;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;;34.579;;;;0.14;0.16;2;;;;;;Y
15499;Cloyd;1999 FY8;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;;6.878;;;;0.21;0.3;2;+;;;;;
15614;Pillinger;2000 GA143;EOS;A;S;C;;5.43;T;14.08;;A;;0.14;;39.561;;;;;0.8;2;;;;Y;;Y
15806;Kohei;1994 GN1;EOS;A;S;C;;8.64;T;13.07;;A;;0.14;;145.7;;;;;0.29;2;;;;;;Y
16038;1999 GD18;1999 GD18;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;;6.95;;;;;0.16;2;;;;;;Y
16162;2000 AD68;2000 AD68;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;;10.398;;;;;0.4;2;;;;;;Y
16185;2000 AH164;2000 AH164;EOS;A;S;C;;5.1;T;14.22;;A;;0.14;;5.901;;;;;0.7;2;;;;;;Y
16457;1989 VF;1989 VF;EOS;A;S;C;;8.32;T;13.15;;A;;0.14;;14.422;;;;;0.17;2;;;;;;Y
16924;1998 FL61;1998 FL61;EOS;A;S;C;;13.5;M;12.1;;A;;0.14;;4.399;;;;;0.5;2;;;;;;
16935;1998 FX111;1998 FX111;EOS;A;S;C;;9.41;T;12.89;;A;;0.14;;6.298;;;;0.7;0.82;3;;;;;;
16936;1998 FJ112;1998 FJ112;EOS;A;S;C;;12.9;M;12.2;;A;;0.14;>;8;;;;;0.1;1;;;;;;
17111;1999 JH52;1999 JH52;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;S;8.8985;;;;;;2;N;;;Y;Y;
17535;1993 FF40;1993 FF40;EOS;A;S;C;;5.01;T;14.25;;A;;0.14;;3.602;;;;;0.37;2;;;;;;Y
17574;1994 PT13;1994 PT13;EOS;A;S;C;;5.49;T;14.06;;A;;0.14;;2.663;;;;;0.32;2;;;;;;Y
17682;1997 AR12;1997 AR12;EOS;A;S;C;;6.24;T;13.78;;A;;0.14;;21.079;;;;;0.25;2;;;;;;Y
17689;1997 CS;1997 CS;EOS;A;S;C;;8.33;T;13.15;;A;;0.14;;137.105;;;;;0.46;2;;;;;;Y
17814;1998 FH113;1998 FH113;EOS;A;S;C;;14.14;M;12;;A;;0.14;;9.22;;;;0.39;0.8;3;-;;;;;
17834;1998 HL43;1998 HL43;EOS;A;S;C;;7.81;T;13.29;;A;;0.14;;21.265;;;;0.64;0.69;2;;;;;;Y
17864;1998 KK38;1998 KK38;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;6.56;;;;0.17;0.23;2;;;;;;
18156;* Kamisaibar;a                    2000 PU4;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;S;11.9166;;;;;;2;N;;;Y;;
18831;* 1999 NP37;1999 NP37;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;S;14.0179;;;;;;2;N;;;Y;;
18990;2000 RW31;2000 RW31;EOS;A;S;C;;6.56;T;13.67;;A;;0.14;;3.524;;;;;0.24;2;;;;;;Y
19108;1981 EV21;1981 EV21;EOS;A;S;C;;3.6;T;14.97;;A;;0.14;;3.389;;;;;0.29;2;;;;;;Y
19504;Vladalekse;ev                   1998 LL2;EOS;A;S;C;;6.83;T;13.58;;A;;0.14;;9.462;;;;;0.24;2;;;;;;Y
19647;1999 RZ103;1999 RZ103;EOS;A;S;C;;6.92;T;13.55;;A;;0.14;;6.304;;;;;0.45;2;;;;;;Y
19848;Yeungchuch;iu                   2000 TR;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;;3.45;;;;0.63;0.7;3;;;;Y;;
20133;1996 CO2;1996 CO2;EOS;A;S;C;;7.08;T;13.5;;A;;0.14;;3.354;;;;;0.3;2;;;;;;Y
20462;1999 LZ31;1999 LZ31;EOS;A;S;C;;6.37;T;13.73;;A;;0.14;;3.48;;;;;0.52;2;;;;;;Y
20674;1999 VT1;1999 VT1;EOS;A;S;D;;9.43;T;12.88;;A;;0.14;;6.311;;;;;0.78;3;;;;;;
20721;* 1999 XA105;1999 XA105;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;S;5.3478;;;;;;2;N;;;Y;;
20725;1999 XP120;1999 XP120;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;S;3.6013;;;;;;2;N;;;Y;Y;
21041;1990 QO1;1990 QO1;EOS;A;S;C;;6.58;T;13.66;;A;;0.14;;5.077;;;;;0.75;2;;;;;;Y
21220;1994 WE4;1994 WE4;EOS;A;S;C;;6.14;T;13.81;;A;;0.14;;4.321;;;;;0.67;2;;;;;;Y
21368;Shiodayama;1997 LE10;EOS;A;S;C;;7.06;T;13.51;;A;;0.14;;9.233;;;;;0.31;2;;;;;;Y
21557;Daniellitt;1998 QE73;EOS;A;S;C;;10.52;T;12.64;;A;;0.14;;4.233;;;;;0.52;2;;;;Y;;Y
22972;* 1999 VR12;1999 VR12;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;S;22.659;;;;;;2;N;;;Y;;
23026;1999 WV9;1999 WV9;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;>;8;;;>;;0.05;;;;;;;
23134;2000 AU142;2000 AU142;EOS;A;S;C;;8.86;T;13.01;;A;;0.14;;4.189;;;;;0.56;2;;;;;;Y
23948;1998 UQ18;1998 UQ18;EOS;A;S;C;;8.09;T;13.21;;A;;0.14;;5.675;;;;;0.47;2;;;;Y;;Y
24324;* 2000 AT51;2000 AT51;EOS;A;S;C;;11.23;M;12.5;;A;;0.14;S;5.8951;;;;;;2;N;;;Y;;
24404;2000 AB194;2000 AB194;EOS;A;S;C;;7.41;T;13.4;;A;;0.14;;3.721;;;;;0.54;2;;;;Y;;Y
24691;1990 RH3;1990 RH3;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;6.76;;;;;0.3;2;-;;;;;
25459;1999 XL14;1999 XL14;EOS;A;S;C;;7.04;T;13.51;;A;;0.14;;22.298;;;;;0.59;2;;;;;;Y
25583;1999 XJ221;1999 XJ221;EOS;A;S;C;;10.29;T;12.69;;A;;0.14;;10.554;;;;0.56;0.58;2;;;;;;Y
25745;Schimmelpe;nninck               2000 AC242;EOS;A;S;C;;7.59;T;13.35;;A;;0.14;;5.514;;;;;0.61;2;;;;;;Y
26058;1061 T-3;1061 T-3;EOS;A;S;C;;4.38;T;14.54;;A;;0.14;;6.058;;;;;0.49;2;;;;;;Y
26821;Baehr;1988 FM1;EOS;A;S;C;;15.51;M;11.8;;A;;0.14;;6.9;;;;;0.29;3;-;;;;;
26876;1994 CR14;1994 CR14;EOS;A;S;C;;6.07;T;13.84;;A;;0.14;;306.715;;;;;0.54;2;;;;;;Y
27204;1999 CY74;1999 CY74;EOS;A;C;C;;7.77;M;13.3;;A;;0.14;;9.7;;;>;;0.8;2;-;;;;;
27443;* 2000 FH49;2000 FH49;EOS;A;S;C;;7.77;M;13.3;;A;;0.14;S;5.3052;;;;;;2;N;;;Y;;
27508;2000 GS142;2000 GS142;EOS;A;S;C;;8.98;T;12.99;;A;;0.14;;8.222;;;;;0.28;2;;;;;;Y
28399;1999 RY136;1999 RY136;EOS;A;S;C;;4.72;T;14.38;;A;;0.14;;10.802;;;;;0.46;2;;;;;;Y
28595;2000 EP136;2000 EP136;EOS;A;S;C;;5.92;T;13.89;;A;;0.14;>;10;;;>;;0.15;2;-;;;;;Y
28650;2000 GE8;2000 GE8;EOS;A;S;C;;5.82;T;13.93;;A;;0.14;;9.591;;;;0.16;0.8;3;;;;;;
28880;2000 KN46;2000 KN46;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;;6.249;;;;0.76;0.87;2;;;;;;Y
28970;2001 JJ4;2001 JJ4;EOS;A;S;C;;5.16;T;14.19;;A;;0.14;;15.185;;;;;0.69;2;;;;;;Y
29172;1990 QL4;1990 QL4;EOS;A;S;C;;7.04;T;13.51;;A;;0.14;;53.235;;;;;0.41;2;;;;;;Y
29567;1998 FT13;1998 FT13;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;3.568;;;;;0.57;2;;;;;;Y
29917;1999 JP19;1999 JP19;EOS;A;S;C;;7.31;T;13.43;;A;;0.14;;3.656;;;;;0.5;2;;;;;;Y
29919;* 1999 JD23;1999 JD23;EOS;A;S;C;;8.92;M;13;;A;;0.14;S;9.2674;;;;;;2;N;;;Y;;
30408;* 2000 KW55;2000 KW55;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;3.8464;;;;;;2;N;;;Y;;
31095;Buneiou;1997 DH;EOS;A;S;C;;5.12;T;14.21;;A;;0.14;;3.484;;;;;0.18;2;;;;;;Y
31288;* 1998 FZ59;1998 FZ59;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;S;40.2038;;;;;;2;N;;;Y;;
31668;1999 JX3;1999 JX3;EOS;A;S;C;;8.92;M;13;;A;;0.14;;11.71;;;;0.29;0.42;2;;;;;;Y
32011;2000 HF56;2000 HF56;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;;6.382;;;;0.66;0.87;2;;;;;;Y
32412;2000 RW25;2000 RW25;EOS;A;S;C;;7.76;T;13.3;;A;;0.14;;3.838;;;;;0.15;2;;;;;;Y
32526;2001 OD98;2001 OD98;EOS;A;S;C;;7.07;T;13.51;;A;;0.14;;3.89;;;;;0.35;2;;;;;;Y
32600;2001 QF173;2001 QF173;EOS;A;S;C;;4.63;T;14.42;;A;;0.14;;7.855;;;;;0.72;2;;;;;;Y
32602;2001 QE185;2001 QE185;EOS;A;S;C;;9.78;M;12.8;;A;;0.14;;5.928;;;;;0.18;2;;;;;;Y
32990;Sayo-hime;1996 YD3;EOS;A;S;C;;6.06;T;13.84;;A;;0.14;;4.788;;;;;0.5;2;;;;;;Y
33218;* 1998 FO106;1998 FO106;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;S;12.4321;;;;;;2;N;;;Y;;
33272;1998 HC102;1998 HC102;EOS;A;S;C;;6.59;T;13.66;;A;;0.14;;5.867;;;;;0.62;2;;;;;;Y
33295;1998 KV40;1998 KV40;EOS;A;S;C;;4.97;T;14.27;;A;;0.14;;101.321;;;;0.9;0.98;2;;;;;;Y
34384;2000 RW61;2000 RW61;EOS;A;S;C;;7.1;T;13.49;;A;;0.14;;4.003;;;;;0.44;2;;;;Y;;Y
34621;2000 UR55;2000 UR55;EOS;A;S;C;;4.35;T;14.56;;A;;0.14;;6.22;;;;;0.61;2;;;;;;Y
34839;2001 SL263;2001 SL263;EOS;A;S;C;;6.98;T;13.53;;A;;0.14;;16.966;;;;;0.57;2;;;;;;Y
35625;1998 KK8;1998 KK8;EOS;A;S;C;;5.65;T;13.99;;A;;0.14;;10.057;;;;;0.31;2;;;;;;Y
36059;1999 RT39;1999 RT39;EOS;A;S;C;;5.11;T;14.21;;A;;0.14;;28.382;;;;;0.64;2;;;;;;Y
36170;1999 RC242;1999 RC242;EOS;A;S;C;;5.73;T;13.96;;A;;0.14;;2.907;;;;;0.22;2;;;;;;Y
36198;1999 TF92;1999 TF92;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;;10.643;;;;;0.29;3;;;;;;
36936;2000 SF227;2000 SF227;EOS;A;S;C;;6.45;T;13.71;;A;;0.14;;6.525;;;;0.49;0.56;2;;;;;;Y
37506;3107 T-2;3107 T-2;EOS;A;S;C;;5.84;T;13.92;;A;;0.14;;5.044;;;;;0.62;2;;;;;;Y
38405;1999 RS202;1999 RS202;EOS;A;S;C;;4.38;T;14.54;;A;;0.14;;8.831;;;;;0.37;2;;;;;;Y
38910;2000 SA178;2000 SA178;EOS;A;S;C;;4.69;T;14.4;;A;;0.14;;6.397;;;;;0.22;2;;;;;;Y
39431;5178 T-2;5178 T-2;EOS;A;S;C;;4.46;T;14.51;;A;;0.14;;9.534;;;;;0.3;2;;;;;;Y
39886;* 1998 EL12;1998 EL12;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;3.5305;;;;;;2;N;;;Y;;
40104;1998 QE4;1998 QE4;EOS;A;S;C;;6.76;T;13.6;;A;;0.14;;4.475;;;;;0.6;2;;;;Y;Y;
40129;* 1998 QY45;1998 QY45;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;7.8973;;;;;;2;N;;;Y;;
41051;1999 VR10;1999 VR10;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;;4.04;;;;;0.55;2;+;;;Y;;
41308;1999 XA154;1999 XA154;EOS;A;S;C;;8.72;T;13.05;;A;;0.14;;5.04;;;;;0.16;2;;;;;;Y
41919;2000 WW156;2000 WW156;EOS;A;S;C;;4.31;T;14.58;;A;;0.14;;10.964;;;;;0.3;2;;;;;;Y
41953;2000 XK16;2000 XK16;EOS;A;S;C;;3.69;T;14.92;;A;;0.14;;6.014;;;;;0.49;2;;;;;;Y
42259;2001 OD81;2001 OD81;EOS;A;S;C;;9.01;T;12.98;;A;;0.14;;4.826;;;;0.31;0.32;2;;;;;;Y
42265;2001 QL69;2001 QL69;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;;8.6;;;;;0.85;2;;;;Y;;
42314;2001 VQ121;2001 VQ121;EOS;A;S;L;;4.45;L;14.66;;L;;0.1218;;9.4;;;;;1;1;+;;;;;
43218;* 2000 AE143;2000 AE143;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;3.4644;;;;;;2;N;;;Y;;
44295;1998 QU89;1998 QU89;EOS;A;S;C;;8.29;T;13.16;;A;;0.14;;6.62;;;;;0.84;2;+;;;;;Y
44417;1998 SS146;1998 SS146;EOS;A;S;C;;6.61;T;13.65;;A;;0.14;;7.632;;;;;0.8;2;;;;Y;;Y
44510;1998 XB51;1998 XB51;EOS;A;S;C;;6.61;T;13.65;;A;;0.14;;2.33;;;;;0.19;2;-;;;;;Y
45068;1999 XA34;1999 XA34;EOS;A;S;C;;7.14;T;13.48;;A;;0.14;;5.043;;;;;0.31;2;;;;;;Y
45408;2000 AO142;2000 AO142;EOS;A;S;C;;7.02;T;13.52;;A;;0.14;;5.385;;;;;0.28;2;;;;;;Y
45410;* 2000 AA144;2000 AA144;EOS;A;S;C;;7.77;M;13.3;;A;;0.14;S;7.4819;;;;;;2;N;;;Y;;
45466;* 2000 AZ201;2000 AZ201;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;7.5867;;;;;;2;N;;;Y;;
45636;2000 EG12;2000 EG12;EOS;A;S;C;;4.81;T;14.34;;A;;0.14;;3.71;;;;;0.58;2;;;;;;Y
45671;2000 EA104;2000 EA104;EOS;A;S;C;;7.27;T;13.44;;A;;0.14;;5.417;;;;;0.24;2;;;;;;Y
45686;2000 EM139;2000 EM139;EOS;A;S;C;;5.51;T;14.05;;A;;0.14;;7.507;;;;;0.59;2;;;;;;Y
45752;2000 JY70;2000 JY70;EOS;A;S;C;;6.19;T;13.79;;A;;0.14;;361.985;;;;;0.48;2;;;;;;Y
46725;1997 SS13;1997 SS13;EOS;A;S;C;;5.63;T;14;;A;;0.14;;8.14;;;;;0.19;2;-;;;;;Y
47608;2000 AE243;2000 AE243;EOS;A;S;C;;7.6;T;13.35;;A;;0.14;;9.128;;;;;0.38;2;;;;;;Y
47819;2000 EJ91;2000 EJ91;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;;5.08;;;;0.44;0.51;3;-;;;;;Y
47865;2000 FK3;2000 FK3;EOS;A;S;C;;5.74;T;13.96;;A;;0.14;;3.549;;;;;0.39;2;;;;;;Y
48835;1997 YK18;1997 YK18;EOS;A;S;C;;5.48;T;14.06;;A;;0.14;;32;;;;;0.38;2;;;;;;Y
49597;1999 FY12;1999 FY12;EOS;A;S;C;;4.9;M;14.3;;A;;0.14;;6.368;;;;0.67;0.73;2;;;;;;Y
49628;* 1999 GV16;1999 GV16;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;S;3.568;;;;;;2;N;;;Y;;
49671;1999 RP46;1999 RP46;EOS;A;S;C;;7.14;T;13.48;;A;;0.14;;700.072;;;;;0.68;2;;;;;;Y
50827;2000 FN37;2000 FN37;EOS;A;C;C;;5.38;M;14.1;;A;;0.14;;2.68;;;;;0.2;2;;;;;;Y
50960;2000 GN82;2000 GN82;EOS;A;S;C;;4.77;T;14.36;;A;;0.14;;12.15;;;;;0.4;2;-;;;;;Y
51035;2000 GO124;2000 GO124;EOS;A;S;C;;4.31;T;14.58;;A;;0.14;;14.401;;;;;0.32;2;;;;;;Y
53790;2000 EV105;2000 EV105;EOS;A;S;C;;3.84;T;14.83;;A;;0.14;;9.6;;;;;0.36;2;+;;;;;Y
54579;2000 QA165;2000 QA165;EOS;A;S;C;;5.13;M;14.2;;A;;0.14;;4.76;;;;;0.3;2;;;;;;Y
54606;* 2000 RA28;2000 RA28;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;5.0757;;;;;;2;N;;;Y;;
55097;2001 QT132;2001 QT132;EOS;A;S;C;;5.38;T;14.1;;A;;0.14;;4.37;;;;0.44;0.46;2;;;;;;Y
56208;1999 GY35;1999 GY35;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;;8.664;;;;;0.42;2;;;;;;Y
56264;1999 JV95;1999 JV95;EOS;A;S;C;;4.68;M;14.4;;A;;0.14;;17.3;;;;;0.69;2;;;;;;Y
58798;1998 FU100;1998 FU100;EOS;A;S;C;;4.46;T;14.51;;A;;0.14;;31.497;;;;;0.69;2;;;;;;Y
61907;2000 QK230;2000 QK230;EOS;A;S;C;;4.08;M;14.7;;A;;0.14;;6.44;;;;;0.65;2;+;;;;;
