NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
2640;Hallstrom;1941 FN;V;A;V;C;;7.46;M;13;;A;;0.2;;22.9;;;;;0.15;1;;;;;;
2850;Mozhaiskij;1978 TM7;V;A;S;C;;8.57;M;12.7;;A;;0.2;;7.83;;;;;0.13;3;-;;;;;
2857;NOT;1942 DA;V;S;T;C;;9.91;M;12.5;;A;;0.18;;5.6353;;;;0.25;0.28;3;;;;;;
3109;Machin;1974 DC;V;A;C;D;;22.84;M;12;;D;;0.0537;;20.3;;;;;0.46;2;;;;Y;;
3263;Bligh;1932 CN;V;A;S;C;;7.46;M;13;;A;;0.2;;3.193;;;;;0.16;2;+;;;;;
3378;Susanvicto;ria                  A922 WB;V;A;S;C;;5.93;M;13.5;;A;;0.2;;2.5621;;;;;0.1;3;N;B;;;;
3629;Lebedinski;j                    1982 WK;V;A;S;C;;8.19;M;12.8;;A;;0.2;;;;;;;;2;N;;Y;;;
3651;Friedman;1978 VB5;V;A;S;D;;5.19;L;13.79;;A;;0.2;;2.81;;;;;0.12;2;;;;;;
3704;Gaoshiqi;1981 YX1;V;S;X;C;;8.97;M;12.6;;A;;0.2;;9.7725;;;;0.2;0.21;2;+;;;;;
3782;Celle;1986 TE;V;S;V;C;;6.35;M;12.6;;A;;0.4;;3.84;;;;0.11;0.17;3;A;B;;;;
3849;Incidentia;1984 FC;V;A;S;C;;6.27;T;13.38;;A;;0.2;;2.778;;;;;0.14;2;;;;;;Y
3865;Lindbloom;1988 AY4;V;A;S;C;;8.57;M;12.7;;A;;0.2;;5.42;;;;;0.03;2;-;;;;;
3867;Shiretoko;1988 HG;V;A;S;C;;7.13;M;13.1;;A;;0.2;;28.035;;;;;0.22;2;;;;;;
3868;Mendoza;4575 P-L;V;A;S;L;;9.4;L;12.71;;L;;0.1649;;2.7709;;;;0.07;0.2;3;;B;;;;
3900;Knezevic;1985 RK;V;S;V;C;;6.21;M;13.4;;A;;0.2;;5.324;;;;;0.62;3;-;;;;;
3936;Elst;2321 T-3;V;A;S;C;;7.46;M;13;;A;;0.2;;6.6322;;;;;0.13;3;;;;;;
3944;Halliday;1981 WP1;V;A;S;C;;5.37;T;13.72;;A;;0.2;;5.565;;;;;0.32;2;;;;;;Y
3968;Koptelov;1978 TU5;V;S;V;C;;5.53;M;12.9;;A;;0.4;;20.88;;;;;0.03;1;;;;;;
4005;Dyagilev;1972 TC2;V;A;S;C;;8.18;M;12.8;;A;;0.2;;6.4;;;;0.23;0.46;3;-;;;;;
4022;Nonna;1981 TL4;V;A;S;C;;7.13;M;13.1;;A;;0.2;;2.5877;;;;0.04;0.1;3;;;;;;
4039;Souseki;1987 SH;V;A;S;C;;8.18;M;12.8;;A;;0.2;;2.772;;;;0.23;0.24;3;;?;;;;
4147;Lennon;1983 AY;V;A;S;C;;7.46;M;13;;A;;0.2;;137;;;;0.25;0.6;1;;;;;;
4215;Kamo;1987 VE1;V;S;V;C;;6.35;M;12.6;;A;;0.4;;12.6;;;;0.11;0.21;2;;;;;;
4302;Markeev;1968 HP;V;A;S;C;;8.57;M;12.7;;A;;0.2;;5.134;;;;;0.31;3;;;;;;
4307;Cherepashc;huk                  1976 UK2;V;A;S;C;;6.37;T;13.34;;A;;0.2;;2.724;;;;;0.24;2;;;;;;Y
4383;Suruga;1989 XP;V;A;S;C;;7.46;M;13;;A;;0.2;;3.4069;;;;;0.14;3;;B;;;;
4434;Nikulin;1981 RD5;V;S;V;C;;7.13;M;13.1;;A;;0.2;;;;;;;;;;;;;;
4510;Shawna;1930 XK;V;A;S;C;;7.82;M;12.9;;A;;0.2;;;;;;;;;;;;;;
4684;Bendjoya;1978 GJ;V;A;S;C;;6.5;M;13.3;;A;;0.2;;12.169;;;;;0.35;3;-;;;;;
4718;Araki;1990 VP3;V;A;S;C;;7.13;M;13.1;;A;;0.2;;46.35;;;;;0.16;2;T?;?;;;;
4970;Druyan;1988 VO2;V;A;S;C;;6.21;M;13.4;;A;;0.2;;;;;;;0.3;;N;;;;;
5096;Luzin;1983 RC5;V;A;S;C;;7.82;M;12.9;;A;;0.2;;3.054;;;;;0.31;3;-;;;;;
5111;Jacliff;1987 SE4;V;S;R;C;;5.65;M;12.7;;A;;0.46;;2.839;;;;;0.18;3;;;;Y;;
5150;Fellini;7571 P-L;V;A;S;C;;6.81;M;13.2;;A;;0.2;;5.1953;;;;0.45;0.61;3;;;;Y;;
5171;Augustesen;1987 SQ3;V;A;S;C;;6.5;M;13.3;;A;;0.2;;480;;;;;0.8;3;T?;;;;;
5240;Kwasan;1990 XE;V;S;V;C;;6.35;M;12.6;;A;;0.4;;5.673;;;;0.42;0.53;3;;;;;;
5307;Paul-Andre;1980 YC;V;A;S;C;;5.66;M;13.6;;A;;0.2;;5.343;;;;;0.58;3;;;;;;
