NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
23808;Joshuahamm;er                   1998 QL42;KOR;A;S;C;;2.58;T;15.1;;A;;0.24;;4.386;;;;0.55;0.56;2;;;;;;Y
23852;Laurierumk;er                   1998 RN35;KOR;A;S;C;;3.3;T;14.57;;A;;0.24;;2.461;;;;;0.1;1;;;;;;Y
23873;1998 RL76;1998 RL76;KOR;A;S;C;;3.99;T;14.16;;A;;0.24;;13.856;;;;;1.23;2;;;;Y;Y;
25112;Mymeshkovy;ch                   1998 RL65;KOR;A;S;C;;3.58;M;14.4;;A;;0.24;;10.1;;;;;0.35;2;+;;;;;
25173;* 1998 SN71;1998 SN71;KOR;A;S;C;;4.11;M;14.1;;A;;0.24;S;2.4703;;;;;;2;N;;;Y;;
25235;1998 UC3;1998 UC3;KOR;A;S;C;;3.92;M;14.2;;A;;0.24;;;;;;;;;HN;;;;;Y
25273;Barrycarol;e                    1998 VN32;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;;;;;;;;;HN;;;;;Y
25673;Di Mascio;2000 AJ99;KOR;A;S;C;;2.96;T;14.81;;A;;0.24;;7.769;;;;;0.4;2;;;;;;Y
25799;Anmaschleg;el                   2000 CC83;KOR;A;S;C;;3.81;T;14.26;;A;;0.24;;4.38;;;;;0.23;2;+;;;;;Y
27134;1998 XO11;1998 XO11;KOR;A;S;C;;4.13;T;14.09;;A;;0.24;;3.198;;;;0.34;0.37;2;;;;;;Y
27502;Stephbecca;2000 GR137;KOR;A;S;C;;2.63;T;15.07;;A;;0.24;;6.96;;;;0.33;0.34;2;;;;;;Y
28707;Drewbecker;2000 GZ94;KOR;A;S;C;;1.6;T;16.15;;A;;0.24;;4.47;;;;;0.3;2;;;;;;Y
29551;1998 CH1;1998 CH1;KOR;A;S;M;;3.26;M;14.6;;A;;0.24;>;1;;;>;;0.08;;;;;;Y;
29923;1999 JE28;1999 JE28;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;;17.9;;;;;0.09;2;-;;;;;Y
30305;Severi;2000 JA;KOR;A;S;C;;4.3;M;14;;A;;0.24;;32.643;;;;;0.57;2;;;;;;Y
31050;1996 RA2;1996 RA2;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;;41.97;;;;;0.42;2;;;;;;Y
32407;2000 RT1;2000 RT1;KOR;A;S;C;;3.53;T;14.43;;A;;0.24;;4.867;;;;;0.2;2;;;;;;Y
32861;1993 FM7;1993 FM7;KOR;A;S;C;;3.79;T;14.27;;A;;0.24;;86.89;;;;;0.08;1;;;;;;Y
33108;1997 YJ18;1997 YJ18;KOR;A;C;C;;4.3;M;14;;A;;0.24;;155;;;;;0.4;1;+;;;;;Y
34087;2000 PA7;2000 PA7;KOR;A;S;C;;2.89;T;14.86;;A;;0.24;;4.169;;;;;0.53;2;;;;;;Y
35154;1993 FF53;1993 FF53;KOR;A;S;C;;2.32;T;15.34;;A;;0.24;;7.515;;;;;0.66;2;;;;;;Y
35513;1998 FL53;1998 FL53;KOR;A;S;C;;2.63;T;15.07;;A;;0.24;;13.581;;;;;0.53;2;;;;;;Y
36281;2000 CN85;2000 CN85;KOR;A;S;C;;2.69;T;15.01;;A;;0.24;;16.143;;;;;0.24;2;;;;;;Y
37184;2000 WC53;2000 WC53;KOR;A;S;C;;2.75;T;14.97;;A;;0.24;;7.87;;;;;0.39;2;;;;;;Y
37346;2001 SU154;2001 SU154;KOR;A;S;C;;3.58;M;14.4;;A;;0.24;;3.26;;;;;0.48;3;-;;;;;Y
37754;1997 CX15;1997 CX15;KOR;A;S;C;;2.61;T;15.08;;A;;0.24;;2.93;;;;;0.27;2;-;;;;;Y
38296;1999 RD87;1999 RD87;KOR;A;S;C;;3.11;T;14.7;;A;;0.24;;5.16;;;;;0.79;3;-;;;;;Y
38490;1999 TA117;1999 TA117;KOR;A;S;C;;4.42;T;13.94;;A;;0.24;;2.96;;;;;0.27;3;;;;;;Y
38992;2000 UN20;2000 UN20;KOR;A;S;C;;2.23;T;15.43;;A;;0.24;;6.921;;;;;0.61;2;;;;;;Y
39145;2000 WU90;2000 WU90;KOR;A;S;C;;2.56;T;15.13;;A;;0.24;;3.43;;;;;0.21;2;-;;;;;Y
39392;4893 P-L;4893 P-L;KOR;A;S;C;;3.22;T;14.63;;A;;0.24;;2.96;;;;;0.18;2;;;;;;Y
40491;1999 RJ68;1999 RJ68;KOR;A;S;C;;2.23;T;15.43;;A;;0.24;;3.89;;;;;0.18;2;-;;;;;Y
41083;* 1999 VO50;1999 VO50;KOR;A;S;C;;6.51;M;13.1;;A;;0.24;S;26.0375;;;;;;2;N;;;Y;;
41869;2000 WK99;2000 WK99;KOR;A;S;C;;2.64;T;15.06;;A;;0.24;;2.59;;;;;0.18;1;+;;;;;Y
42741;1998 RW65;1998 RW65;KOR;A;S;C;;2.54;T;15.14;;A;;0.24;;5.05;;;;;0.49;3;;;;;;Y
44579;1999 GR25;1999 GR25;KOR;A;S;C;;4.3;M;14;;A;;0.24;;4.6;;;;0.67;0.87;3;-;;;;;Y
45610;2000 DJ48;2000 DJ48;KOR;A;S;C;;2.93;T;14.83;;A;;0.24;;;;;;;0.52;;;;;;;Y
45628;2000 DD99;2000 DD99;KOR;A;S;C;;1.99;T;15.67;;A;;0.24;;3.48;;;;0.31;0.39;2;;;;;;Y
47691;2000 CT92;2000 CT92;KOR;A;S;C;;4.35;T;13.98;;A;;0.24;;3.87;;;;0.47;0.54;2;;;;;;Y
50493;2000 DL93;2000 DL93;KOR;A;S;C;;2.98;M;14.8;;A;;0.24;;4.638;;;;0.4;0.46;2;;;;;;Y
50596;2000 EV47;2000 EV47;KOR;A;S;C;;5.18;T;13.6;;A;;0.24;;2.908;;;;;0.08;2;;;;;;Y
50648;2000 EL89;2000 EL89;KOR;A;S;C;;2.59;T;15.1;;A;;0.24;;4.8;;;;;0.19;2;;;;;;Y
50811;2000 FZ29;2000 FZ29;KOR;A;S;C;;2.72;T;15;;A;;0.24;;5.177;;;;0.42;0.43;2;;;;;;Y
52179;2270 T-2;2270 T-2;KOR;A;S;C;;1.84;T;15.84;;A;;0.24;;4.97;;;;;0.81;2;;;;;;Y
53298;1999 GF25;1999 GF25;KOR;A;S;C;;5.41;M;13.5;;A;;0.24;;5.51;;;;0.42;0.45;3;-;;;;;Y
54272;2000 JT40;2000 JT40;KOR;A;S;C;;2.08;T;15.58;;A;;0.24;;16.27;;;;;0.61;2;;;;;;Y
55002;2001 QF19;2001 QF19;KOR;A;S;C;;3.58;M;14.4;;A;;0.24;;4.56;;;;;0.2;1;+;;;;;Y
55004;2001 QT22;2001 QT22;KOR;A;S;C;;4.3;M;14;;A;;0.24;;3.81;;;;0.41;0.43;3;-;;;;;Y
55025;2001 QF40;2001 QF40;KOR;A;S;C;;2.37;T;15.29;;A;;0.24;;15.24;;;;;0.53;2;;;;;;Y
56558;2000 HK100;2000 HK100;KOR;A;S;C;;2.17;T;15.49;;A;;0.24;;3.537;;;;0.19;0.24;2;;;;;;Y
58922;1998 KK58;1998 KK58;KOR;A;S;C;;1.99;T;15.67;;A;;0.24;;8.35;;;;;0.74;2;;;;;;Y
63660;2001 QV119;2001 QV119;KOR;A;S;C;;4.11;T;14.1;;A;;0.24;;14.846;;;;0.21;0.47;2;;;;;;Y
66742;1999 TP123;1999 TP123;KOR;A;S;C;;3.03;T;14.76;;A;;0.24;;12.702;;;;;0.23;2;;;;;;Y
66969;1999 XW54;1999 XW54;KOR;A;S;C;;2.31;T;15.35;;A;;0.24;;5.75;;;;;0.22;2;-;;;;;Y
69802;1998 RX15;1998 RX15;KOR;A;C;C;;2.84;M;14.9;;A;;0.24;;5.3;;;;0.45;0.48;2;;;;;;Y
69858;1998 SM57;1998 SM57;KOR;A;S;C;;3.29;T;14.58;;A;;0.24;;93.169;;;;;0.37;2;;;;;;Y
71266;2000 AC28;2000 AC28;KOR;A;S;C;;2.1;T;15.56;;A;;0.24;;10.55;;;;;1.07;2;;;;;;Y
71314;2000 AW76;2000 AW76;KOR;A;S;C;;3.75;M;14.3;;A;;0.24;;5.65;;;;;0.81;2;;;;;;Y
71544;2000 CD123;2000 CD123;KOR;A;S;C;;2.59;M;15.1;;A;;0.24;;;;;;;;;HN;;;;;Y
72653;2001 FA45;2001 FA45;KOR;A;S;C;;2.85;T;14.89;;A;;0.24;;7.33;;;;;0.67;2;;;;;;Y
72668;2001 FG51;2001 FG51;KOR;A;S;C;;2.47;T;15.2;;A;;0.24;;7.27;;;;;0.94;3;-;;;;;Y
73950;1997 TE13;1997 TE13;KOR;A;S;C;;2.01;T;15.65;;A;;0.24;;13.71;;;;;0.27;2;;;;;;Y
75176;1999 VV155;1999 VV155;KOR;A;S;L;;1.52;L;16.5;;L;;0.19;;;;;;;;;;;;;;
76019;2000 DU31;2000 DU31;KOR;A;S;L;;1.94;L;16.1;;L;;0.17;;;;;;;;;;;;;;
76023;2000 DB38;2000 DB38;KOR;A;S;C;;2.97;M;14.8;;A;;0.24;;;;;;;;;HN;;;;;Y
76037;2000 DA50;2000 DA50;KOR;A;S;C;;2.26;M;15.4;;A;;0.24;;;;;;;;;HN;;;;;Y
76069;2000 DS77;2000 DS77;KOR;A;S;C;;2.84;M;14.9;;A;;0.24;;9.098;;;;0.68;0.83;2;;;;;;Y
76142;2000 ER13;2000 ER13;KOR;A;S;C;;3.26;M;14.6;;A;;0.24;;5.5;;;;;0.7;2;;;;;;Y
76686;2000 HN72;2000 HN72;KOR;A;S;L;;2.86;L;15.2;;L;;0.18;;;;;;;;;;;;;;
78282;2002 PF40;2002 PF40;KOR;A;S;C;;2.1;T;15.56;;A;;0.24;;8.5;;;;;0.91;2;;;;;;Y
78479;2002 RO52;2002 RO52;KOR;A;S;C;;2.52;T;15.16;;A;;0.24;;;;;;;0.66;;;;;;;Y
79988;1999 EK10;1999 EK10;KOR;A;S;C;;1.82;T;15.86;;A;;0.24;;7.333;;;;;0.41;2;;;;;;Y
81205;2000 FW10;2000 FW10;KOR;A;S;C;;2.15;T;15.5;;A;;0.24;;4.95;;;;;0.78;2;;;;;;Y
82730;2001 PZ58;2001 PZ58;KOR;A;S;C;;2.59;M;15.1;;A;;0.24;;17.328;;;;;0.56;2;;;;;;Y
83391;2001 SH22;2001 SH22;KOR;A;S;C;;3.26;M;14.6;;A;;0.24;;4.666;;;;;0.1;1;+;;;;;Y
84415;2002 TL195;2002 TL195;KOR;A;S;C;;2.36;M;15.3;;A;;0.24;;;;;;;;;;;;;;
93690;2000 VE21;2000 VE21;KOR;A;S;L;;2.1;L;15.6;;L;;0.23;>;12;;;>;;0.18;2;-;;;;;
95431;2002 CZ240;2002 CZ240;KOR;A;S;C;;2.08;T;15.58;;A;;0.24;;8.21;;;;;0.57;2;+;;;;;Y
97512;2000 CV118;2000 CV118;KOR;A;S;C;;1.5;T;16.29;;A;;0.24;;9.06;;;;;0.55;2;;;;;;Y
101340;1998 TN4;1998 TN4;KOR;A;S;C;;1.68;T;16.04;;A;;0.24;;5.75;;;;;0.37;1;;;;;;Y
101513;1998 XV25;1998 XV25;KOR;A;S;C;;1.79;M;15.9;;A;;0.24;;;;;;;;;HN;;;;;Y
104108;2000 EH45;2000 EH45;KOR;A;S;C;;2.27;T;15.39;;A;;0.24;;;;;;;0.54;;;;;;;Y
104188;2000 EW99;2000 EW99;KOR;A;S;C;;2.47;M;15.2;;A;;0.24;;50.097;;;;;0.83;2;;;;;;Y
112888;2002 QR44;2002 QR44;KOR;A;S;C;;2.84;M;14.9;;A;;0.24;;35.102;;;;0.4;0.52;2;;;;;;Y
112922;2002 QN63;2002 QN63;KOR;A;S;C;;1.79;M;15.9;;A;;0.24;;;;;;;;;HN;;;;;Y
113021;2002 RO43;2002 RO43;KOR;A;S;C;;2.22;T;15.43;;A;;0.24;;10.769;;;;;0.52;2;;;;;;Y
114132;2002 VH54;2002 VH54;KOR;A;S;C;;2.04;T;15.62;;A;;0.24;;2.7;;;;;0.33;2;;;;;;Y
116503;2004 BN23;2004 BN23;KOR;A;S;C;;1.48;T;16.31;;A;;0.24;;11.818;;;;0.67;0.68;2;;;;;;Y
116653;2004 CJ29;2004 CJ29;KOR;A;S;C;;1.6;T;16.15;;A;;0.24;;8.81;;;;0.48;0.55;2;;;;;;Y
117482;2005 CD2;2005 CD2;KOR;A;S;C;;1.97;M;15.7;;A;;0.24;;;;;;;;;HN;;;;;Y
118805;2000 SB56;2000 SB56;KOR;A;S;C;;2.03;T;15.63;;A;;0.24;;7.854;;;;;0.75;2;;;;;;Y
127189;2002 GL172;2002 GL172;KOR;A;S;C;;1.78;T;15.92;;A;;0.24;;5.75;;;;;0.41;2;;;;;;Y
129690;1998 SF16;1998 SF16;KOR;A;S;C;;1.89;T;15.79;;A;;0.24;;7.38;;;;;0.58;2;;;;;;Y
129691;1998 SH16;1998 SH16;KOR;A;S;C;;1.64;M;16.1;;A;;0.24;;17.1;;;;;0.5;2;-;;;;;Y
132718;Kemeny;2002 ON27;KOR;A;S;C;;1.74;T;15.97;;A;;0.24;;5.89;;;;;0.79;2;;;;;;Y
132830;2002 RQ7;2002 RQ7;KOR;A;S;C;;2.36;M;15.3;;A;;0.24;;5.908;;;;0.37;0.4;2;;;;;;Y
133528;Ceragioli;2003 TC2;KOR;A;S;C;;1.75;T;15.95;;A;;0.24;;3.052;;;;;0.35;2;;;;;;Y
135126;2001 QX158;2001 QX158;KOR;A;S;C;;2.47;M;15.2;;A;;0.24;;3.595;;;;;0.52;2;;;;;;Y
139858;2001 RW61;2001 RW61;KOR;A;S;M;;2.06;M;15.6;;A;;0.24;>;1.1;;;>;;0.37;;;;;;Y;
139888;2001 RC89;2001 RC89;KOR;A;S;C;;2.71;M;15;;A;;0.24;;8.87;;;;0.5;0.52;3;-;;;;;Y
140041;2001 SZ77;2001 SZ77;KOR;A;C;C;;3.68;M;15.9;;A;;0.057;;2.91;;;;;0.2;1;;;;;;Y
140121;2001 SR139;2001 SR139;KOR;A;S;C;;2.15;M;15.5;;A;;0.24;;19.32;;;;;0.22;1;;;;;;Y
140696;2001 UV72;2001 UV72;KOR;A;S;M;;2.06;M;15.6;;A;;0.24;>;1;;;>;;0.43;;;;;;Y;
144082;2004 BP51;2004 BP51;KOR;A;S;C;;1.75;T;15.95;;A;;0.24;;2.46;;;;;0.26;2;;;;;;Y
144159;2004 BH100;2004 BH100;KOR;A;S;C;;1.33;T;16.54;;A;;0.24;;6.96;;;;;0.42;2;;;;;;Y
164380;2005 EB148;2005 EB148;KOR;A;S;C;;2.18;T;15.47;;A;;0.24;;12.47;;;;;0.26;2;;;;;;Y
166653;2002 TT20;2002 TT20;KOR;A;S;C;;1.1;T;16.96;;A;;0.24;;7.27;;;;;0.61;2;;;;;;Y
171069;2005 ES152;2005 ES152;KOR;A;S;C;;1.4;T;16.44;;A;;0.24;;4.32;;;;;0.55;2;;;;;;Y
175506;2006 SO2;2006 SO2;KOR;A;S;C;;1.56;M;16.2;;A;;0.24;;2.799;;;;;0.12;1;;;;;;Y
176505;2001 YF29;2001 YF29;KOR;A;S;C;;1.58;L;16.21;;A;;0.24;;5.34;;;;;0.56;2;-;;;;;
190425;1999 VM137;1999 VM137;KOR;A;S;C;;1.42;T;16.41;;A;;0.24;;6;;;;;0.81;3;-;;;;;Y
196745;2003 SY139;2003 SY139;KOR;A;S;C;;1.63;T;16.1;;A;;0.24;;3.5;;;;;0.56;2;;;;;;Y
196905;2003 TH17;2003 TH17;KOR;A;S;C;;1.53;T;16.25;;A;;0.24;;2.87;;;;;0.78;2;;;;;;Y
197087;2003 UG182;2003 UG182;KOR;A;S;C;;1.53;T;16.24;;A;;0.24;;6.15;;;;;0.72;3;-;;;;;Y
199588;2006 FO16;2006 FO16;KOR;A;S;C;;1.58;T;16.17;;A;;0.24;;5.75;;;;;0.41;3;-;;;;;Y
202537;2006 DO60;2006 DO60;KOR;A;S;C;;1.15;T;16.87;;A;;0.24;;3.86;;;;;1.11;2;;;;;;Y
202573;2006 FY13;2006 FY13;KOR;A;S;C;;1.29;T;16.61;;A;;0.24;;6;;;;;0.96;2;;;;;;Y
204075;2003 WK;2003 WK;KOR;A;S;C;;1.79;M;15.9;;A;;0.24;;;;;;;;;HN;;;;;Y
204518;2005 EM25;2005 EM25;KOR;A;S;C;;2.15;M;15.5;;A;;0.24;;;;;;;;;HN;;;;;Y
204565;2005 EF290;2005 EF290;KOR;A;S;C;;1.46;T;16.34;;A;;0.24;;2.74;;;;;0.23;2;;;;;;Y
207690;2007 RE19;2007 RE19;KOR;A;S;C;;1.15;T;16.86;;A;;0.24;;8.35;;;;;0.59;2;;;;;;Y
207758;2007 SN19;2007 SN19;KOR;A;S;C;;1.37;T;16.48;;A;;0.24;;3.822;;;;0.47;0.48;2;;;;;;Y
213834;2003 QD103;2003 QD103;KOR;A;S;C;;1.47;T;16.33;;A;;0.24;;5.39;;;;;1.34;2;+;;;;;Y
219898;2002 ER118;2002 ER118;KOR;A;S;C;;1.58;T;16.17;;A;;0.24;;6.71;;;;;0.45;2;;;;;;Y
221781;2007 RD62;2007 RD62;KOR;A;S;C;;1.42;T;16.4;;A;;0.24;;55.544;;;;;0.59;2;;;;;;Y
223407;2003 SF160;2003 SF160;KOR;A;S;C;;1.63;T;16.11;;A;;0.24;;3.52;;;;;0.45;2;+;;;;;Y
224611;2005 YV63;2005 YV63;KOR;A;S;C;;0.94;1 T;17.3;;A;;0.24;;10.43;;;;;0.75;2;-;;;;;Y
224946;2007 DF106;2007 DF106;KOR;A;S;C;;1.52;T;16.26;;A;;0.24;;8.65;;;;;0.68;1;+;;;;;Y
229702;2007 EO48;2007 EO48;KOR;A;S;C;;1.45;T;16.36;;A;;0.24;;9.331;;;;;0.55;2;;;;;;Y
234795;2002 QR61;2002 QR61;KOR;A;S;C;;1.2;T;16.77;;A;;0.24;;9.41;;;;;0.82;2;;;;;;Y
239673;2008 YV22;2008 YV22;KOR;A;S;C;;1.18;T;16.8;;A;;0.24;;4.68;;;;;0.61;2;;;;;;Y
240172;2002 PC180;2002 PC180;KOR;A;S;C;;1.36;M;16.5;;A;;0.24;;;;;;;;;HN;;;;;Y
242366;2004 CP29;2004 CP29;KOR;A;S;C;;1.17;T;16.83;;A;;0.24;;4.07;;;;;0.45;2;;;;;;Y
243200;2007 TC447;2007 TC447;KOR;A;S;C;;1.22;T;16.73;;A;;0.24;;6.36;;;;;0.72;2;;;;;;Y
256340;2006 XP30;2006 XP30;KOR;A;S;C;;1.3;M;16.6;;A;;0.24;;6.29;;;;;0.56;2;;;;;;Y
268623;2006 DT22;2006 DT22;KOR;A;S;C;;1.55;T;16.21;;A;;0.24;;7.015;;;;;0.68;2;;;;;;Y
278686;2008 RN115;2008 RN115;KOR;A;S;C;;0.95;4 T;17.27;;A;;0.24;;5.03;;;;;1.18;2;;;;;;Y
278807;2008 SQ244;2008 SQ244;KOR;A;S;C;;1.09;T;16.98;;A;;0.24;;6.32;;;;;1.04;2;;;;;;Y
278856;2008 TZ22;2008 TZ22;KOR;A;S;C;;1.05;T;17.07;;A;;0.24;;4.12;;;;;0.86;2;;;;;;Y
281052;2006 HH153;2006 HH153;KOR;A;S;C;;1.42;M;16.4;;A;;0.24;;;;;;;;;HN;;;;;Y
295723;2008 UR51;2008 UR51;KOR;A;S;C;;1.08;M;17;;A;;0.24;;;;;;;;;HN;;;;;Y
327488;2005 YM147;2005 YM147;KOR;A;S;C;;1.07;T;17.03;;A;;0.24;;3.64;;;;;0.89;2;+;;;;;Y
336498;2008 WU48;2008 WU48;KOR;A;S;C;;1.24;M;16.7;;A;;0.24;;;;;;;;;HN;;;;;Y
339406;2005 CA35;2005 CA35;KOR;A;S;C;;1.36;M;16.5;;A;;0.24;;;;;;;;;HN;;;;;Y
351898;2006 SE242;2006 SE242;KOR;A;S;C;;1.03;M;17.1;;A;;0.24;;18.5;;;;;0.2;1;;;;;;Y
353535;2011 SY166;2011 SY166;KOR;A;S;M;;1.18;M;16.8;;A;;0.24;>;1.88;;;>;;0.33;;;;;;Y;
360962;2005 UF129;2005 UF129;KOR;A;S;C;;1.08;M;17;;A;;0.24;;;;;;;;;HN;;;;;Y
379025;2008 VE39;2008 VE39;KOR;A;S;C;;1.24;M;16.7;;A;;0.24;;;;;;;;;HN;;;;;Y
384495;2010 CQ80;2010 CQ80;KOR;A;S;C;;1.36;M;16.5;;A;;0.24;;;;;;;;;HN;;;;;Y
387950;2005 EL237;2005 EL237;KOR;A;S;C;;0.89;8 T;17.4;;A;;0.24;;3.52;;;;;0.7;2;;;;;;Y
402314;2005 TD123;2005 TD123;KOR;A;S;C;;0.85;8 M;17.5;;A;;0.24;;;;;;;;;HN;;;;;Y
498827;2008 VC39;2008 VC39;KOR;A;S;C;;0.98;5 M;17.2;;A;;0.24;;;;;;;;;HN;;;;;Y
512729;2016 UF23;2016 UF23;KOR;A;S;M;;1.24;M;16.7;;A;;0.24;>;1.33;;;>;;0.22;;;;;;Y;
